1415,33,6,22,12,215,28,77,52,5,14,407,16,82,10311,8,4,107,117,5952,15,256,4.1,2,7,3766,5.1,723,36,71,43,530,476,26,400,317,46,7.1,4.2,12118,1029,13,104,88,4.3,381,15.1,297,98,32,2071,56,26.1,141,6.1,194,7486,18,4.4,226,22.1,21,134,476.1,26.2,480,5.2,144,30,5535,18.1,51,36.1,28.1,224,92,25,104.1,4.5,226.1,65,16.1,38,1334,88.1,12.1,16.2,283,5.3,16.3,4472,113,103,32.1,15.2,16.4,5345,19,178,32.2,1
6,337,7,3728,2,1294,845,25,1070,3942,15,29,4362,6,2377,143,4,22,38,279,84,528,3468,4,22,19,90,10,10,12,517,7,17468,19,6,10380,2838,7,4,627,7,4,1354,108,5,95,43,1978,142,40,6,3984,114,5,320,542,302,10,10,4,640,26,10889,35,534,159,4,9991,266,5,60,95,36,809,1035,48,25,181,8,67,35,1134,2838,7,4,700,274,182,67,3187,4232,10,10,521,92,1135,245,39,736,349,0
23,12,61,419,220,13378,150,15,13,28,110,12,88,61,362,11595,72,13,657,61,419,69,13378,12,62,28,1894,72,39,4,7028,4625,15,16,14,18654,86,7,32,231,35,534,196,123,448,23,6,289,786,6989,613,9,6,647,326,8,3218,6,613,40,14,63,69,8,6887,40,932,43,8,30,15,196,83,35,436,534,9,60,53,2761,14,16,862,398,6494,1125,862,917,4,1029,271,23,5,23,3214,558,9,14,126,78,0
166,54,662,44,4581,11,4,3737,3617,9,93,32,99,1734,34,4,5424,7,4,719,4237,2,2,256,34,13219,14029,18,72,151,4,1339,239,16,39,2597,3294,5977,280,174,51,6,897,109,284,29,66,9,13,16,220,11,1674,54,29,579,14926,89,4,3111,69,38,3280,1477,5,6744,27,157,14,22,1457,3542,7,4,10721,83,4,11409,39,4,3151,5,3752,3737,3859,8,4,10403,354,34,316,574,10,10,13,967,14,22,158,158,1
1692,29,16,780,23,15,316,62,30,38,776,23,90,10,10,6,194,439,9,263,632,4978,14,232,9,6,3358,24,88,240,1571,11,134,2632,42,47,6,9802,1603,42,272,40,31,240,6,10722,29,152,990,692,42,60,66,353,33,134,2632,29,47,1456,2,48,13,69,8,3485,294,29,586,97,12,501,4,2704,10,10,146,267,930,8,51,1378,1259,127,375,21,493,3296,125,4,14,9,35,674,22,538,298,292,152,157,0
12,12,9,38,2968,11,49,531,21,13,169,546,4471,18,12,54,146,180,5,43,359,6,52,462,5,1684,72,13,244,43,24,6,2968,20,1932,232,10,10,25,70,332,4,3935,38,13,92,28,8,2696,25,19,15,43,360,5690,48,25,40,2,25,80,242,40,14,20,10,10,31,53,155,30,252,8,106,4,130,898,25,92,359,8,332,98,43,106,98,5,1277,4,239,7,11,4,3029,34,4,2059,84,5,369,1
14016,5,14528,8,28,388,121,507,24,252,48,36,70,1684,257,85,10,10,3477,1184,26,6,52,392,604,7,156,2,7223,2,2,5,1230,2,17,4,3368,15094,8,10182,14016,5,14528,23,4,1973,5,1808,19496,17,4,1811,37,304,98,8,4,1250,25,70,82,67,31,58,1655,19161,2,3662,17,31,7,4,1815,10602,204,768,1066,10,10,5827,225,31,1504,4304,200,5,4,155,498,167,5354,37,952,23,199,3451,10,10,709,158,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,137,13,197,14,16,6,52,22,44,13721,1792,12,16,6,117,254,8,794,4,15925,12,4584,187,179,6,227,209,126,4872,51,291,36,71,11,900,24,87,116,5,24,66,6,87,22,21,12,16,327,8,850,6,117,53,44,37,13721,1792,16,1
4373,1242,4543,12907,39,4,8890,2060,17076,1756,2,2001,8952,4020,4178,40,1002,39,4172,834,3227,35,1558,1549,419,8,703,5,214,574,11,6,1366,325,11,1226,11836,8422,346,21,2,753,19,4,13189,302,237,1274,7,4,2,255,36,144,28,3429,4,2386,232,99,854,89,2,13556,5539,5,2,11,175,333,324,5006,78,21,16247,138,75,106,134,102,2,12,755,2,1918,5979,2,9,8842,60,433,48,16247,614,10,10,2241,7,10,10,0
4,554,937,13,197,39,4,2153,238,30,6,815,4304,770,72,19,27,2703,45,43,4,117,183,15,4,167,738,8,2,40,4,232,37,127,4,10586,7,4,236,390,33,4,454,7,257,162,390,738,8,30,3429,260,6,3870,376,25,51,575,243,7,4929,4,65,4,64,85,392,439,13,69,16,15,518,36,193,99,196,8,81,183,21,57,121,751,17,196,17,49,287,40,1172,989,259,124,54,36,80,7644,4,811,1
